date,day_of_week,is_weekend,menu,qty_sold(판매량(인분)),temp_avg_c,rain_mm,living_population_avg,pop_index,is_event
2026-02-12,Thursday,0,김치찌개,49,2.8,0,18111.2,104,0
2026-02-12,Thursday,0,제육볶음,37,2.8,0,18111.2,104,0
2026-02-12,Thursday,0,냉면,22,2.8,0,18111.2,104,0
2026-02-12,Thursday,0,된장찌개,30,2.8,0,18111.2,104,0
2026-02-13,Friday,0,김치찌개,48,5.3,0,17465.3,100.3,0
2026-02-13,Friday,0,제육볶음,42,5.3,0,17465.3,100.3,0
2026-02-13,Friday,0,냉면,21,5.3,0,17465.3,100.3,0
2026-02-13,Friday,0,된장찌개,29,5.3,0,17465.3,100.3,0
2026-02-14,Saturday,1,김치찌개,56,7.8,0,15049.4,86.4,0
2026-02-14,Saturday,1,제육볶음,38,7.8,0,15049.4,86.4,0
2026-02-14,Saturday,1,냉면,16,7.8,0,15049.4,86.4,0
2026-02-14,Saturday,1,된장찌개,32,7.8,0,15049.4,86.4,0
2026-02-15,Sunday,1,김치찌개,46,6.6,0,14278.6,82,0
2026-02-15,Sunday,1,제육볶음,37,6.6,0,14278.6,82,0
2026-02-15,Sunday,1,냉면,24,6.6,0,14278.6,82,0
2026-02-15,Sunday,1,된장찌개,29,6.6,0,14278.6,82,0
2026-02-16,Monday,0,김치찌개,41,2.4,0,13389.2,76.9,0
2026-02-16,Monday,0,제육볶음,23,2.4,0,13389.2,76.9,0
2026-02-16,Monday,0,냉면,14,2.4,0,13389.2,76.9,0
2026-02-16,Monday,0,된장찌개,28,2.4,0,13389.2,76.9,0
2026-02-17,Tuesday,0,김치찌개,41,1.7,0,13846.6,79.5,0
2026-02-17,Tuesday,0,제육볶음,25,1.7,0,13846.6,79.5,0
2026-02-17,Tuesday,0,냉면,13,1.7,0,13846.6,79.5,0
2026-02-17,Tuesday,0,된장찌개,22,1.7,0,13846.6,79.5,0
2026-02-18,Wednesday,0,김치찌개,43,2.4,0,14836.3,85.2,0
2026-02-18,Wednesday,0,제육볶음,30,2.4,0,14836.3,85.2,0
2026-02-18,Wednesday,0,냉면,15,2.4,0,14836.3,85.2,0
2026-02-18,Wednesday,0,된장찌개,26,2.4,0,14836.3,85.2,0
2026-02-19,Thursday,0,김치찌개,48,2.1,0,16866.2,96.8,0
2026-02-19,Thursday,0,제육볶음,33,2.1,0,16866.2,96.8,0
2026-02-19,Thursday,0,냉면,16,2.1,0,16866.2,96.8,0
2026-02-19,Thursday,0,된장찌개,27,2.1,0,16866.2,96.8,0
2026-02-20,Friday,0,김치찌개,51,6.3,0,17617.3,101.1,0
2026-02-20,Friday,0,제육볶음,39,6.3,0,17617.3,101.1,0
2026-02-20,Friday,0,냉면,25,6.3,0,17617.3,101.1,0
2026-02-20,Friday,0,된장찌개,26,6.3,0,17617.3,101.1,0
2026-02-21,Saturday,1,김치찌개,46,10.7,0,17078.3,98,0
2026-02-21,Saturday,1,제육볶음,46,10.7,0,17078.3,98,0
2026-02-21,Saturday,1,냉면,25,10.7,0,17078.3,98,0
2026-02-21,Saturday,1,된장찌개,37,10.7,0,17078.3,98,0
2026-02-22,Sunday,1,김치찌개,60,8.4,0,16343.5,93.8,0
2026-02-22,Sunday,1,제육볶음,48,8.4,0,16343.5,93.8,0
2026-02-22,Sunday,1,냉면,23,8.4,0,16343.5,93.8,0
2026-02-22,Sunday,1,된장찌개,32,8.4,0,16343.5,93.8,0
2026-02-23,Monday,0,김치찌개,45,1.8,0,17763.5,102,0
2026-02-23,Monday,0,제육볶음,40,1.8,0,17763.5,102,0
2026-02-23,Monday,0,냉면,21,1.8,0,17763.5,102,0
2026-02-23,Monday,0,된장찌개,32,1.8,0,17763.5,102,0
2026-02-24,Tuesday,0,김치찌개,47,2.8,0,17961.6,103.1,0
2026-02-24,Tuesday,0,제육볶음,34,2.8,0,17961.6,103.1,0
2026-02-24,Tuesday,0,냉면,20,2.8,0,17961.6,103.1,0
2026-02-24,Tuesday,0,된장찌개,25,2.8,0,17961.6,103.1,0
2026-02-25,Wednesday,0,김치찌개,47,7.4,0,18252.5,104.8,0
2026-02-25,Wednesday,0,제육볶음,31,7.4,0,18252.5,104.8,0
2026-02-25,Wednesday,0,냉면,23,7.4,0,18252.5,104.8,0
2026-02-25,Wednesday,0,된장찌개,27,7.4,0,18252.5,104.8,0
2026-02-26,Thursday,0,김치찌개,41,8.3,0,17809.5,102.2,0
2026-02-26,Thursday,0,제육볶음,31,8.3,0,17809.5,102.2,0
2026-02-26,Thursday,0,냉면,21,8.3,0,17809.5,102.2,0
2026-02-26,Thursday,0,된장찌개,29,8.3,0,17809.5,102.2,0
2026-02-27,Friday,0,김치찌개,65,9.6,0,17970.7,103.2,1
2026-02-27,Friday,0,제육볶음,50,9.6,0,17970.7,103.2,1
2026-02-27,Friday,0,냉면,36,9.6,0,17970.7,103.2,1
2026-02-27,Friday,0,된장찌개,47,9.6,0,17970.7,103.2,1
2026-02-28,Saturday,1,김치찌개,50,9.3,0,17049.5,97.9,0
